CustomerID,Gender,SeniorCitizen,Tenure,MonthlyCharges,Contract,PaymentMethod,TotalCharges,Churn
71,Female,0,37,33.94,Month-to-month,Credit card,1255.78,No
72,Female,1,16,49.07,Month-to-month,Net Banking,785.12,No
73,Female,1,38,117.63,Month-to-month,Debit card,4469.94,Yes
74,Male,0,40,116.57,Month-to-month,Debit card,4662.8,Yes
75,Male,0,29,102.77,Two year,Credit card,2980.33,No
76,Male,1,17,43.25,Month-to-month,UPI,735.25,No
77,Male,0,20,64.16,One year,UPI,1283.2,Yes
78,Male,1,25,63.98,Month-to-month,Net Banking,1599.5,No
79,Female,0,60,58.7,One year,UPI,3522.0,No
80,Female,0,38,24.49,Month-to-month,Net Banking,930.62,No
81,Male,0,63,73.45,Month-to-month,Credit card,4627.35,No
82,Female,0,39,27.28,Month-to-month,UPI,1063.92,Yes
83,Male,1,64,100.19,Two year,Debit card,6412.16,No
84,Male,0,21,89.13,Two year,Credit card,1871.73,No
85,Male,0,32,55.27,Month-to-month,Net Banking,1768.64,No
86,Female,0,28,84.71,Month-to-month,Credit card,2371.88,Yes
87,Female,0,12,43.3,Month-to-month,Credit card,519.6,Yes
88,Female,0,23,46.53,Month-to-month,Net Banking,1070.19,Yes
89,Female,0,15,51.41,One year,UPI,771.15,No
90,Female,0,12,99.7,Month-to-month,UPI,1196.4,Yes
91,Male,0,4,41.07,Month-to-month,Debit card,164.28,Yes
92,Male,1,35,76.28,One year,UPI,2669.8,Yes
93,Male,0,61,40.05,Month-to-month,Net Banking,2443.05,No
94,Female,0,27,48.5,One year,Net Banking,1309.5,No
95,Female,1,33,43.55,Month-to-month,Net Banking,1437.15,No
96,Female,0,13,84.5,One year,UPI,1098.5,No
97,Male,0,37,72.67,Month-to-month,Net Banking,2688.79,No
98,Male,0,44,92.13,Month-to-month,UPI,4053.72,Yes
99,Male,0,2,41.99,Two year,Net Banking,83.98,Yes
100,Female,0,38,20.91,Month-to-month,Net Banking,794.58,No
101,Female,1,37,88.05,Two year,UPI,3257.85,No
102,Male,0,59,31.49,One year,Debit card,1857.91,No
103,Male,1,69,44.63,Two year,Debit card,3079.47,No
104,Male,0,18,50.57,Month-to-month,Debit card,910.26,No
105,Male,0,48,94.68,Month-to-month,UPI,4544.64,Yes
106,Female,0,66,82.59,One year,Net Banking,5450.94,No
107,Male,0,49,38.43,One year,UPI,1883.07,Yes
108,Female,1,58,79.79,One year,Credit card,4627.82,Yes
109,Female,0,35,90.81,Month-to-month,Credit card,3178.35,Yes
110,Female,1,58,58.89,Two year,UPI,3415.62,No
111,Female,0,7,44.6,Month-to-month,Credit card,312.2,Yes
112,Female,0,9,87.9,One year,Debit card,791.1,Yes
113,Male,1,69,81.09,Month-to-month,Debit card,5595.21,Yes
114,Female,0,4,27.79,Month-to-month,Debit card,111.16,Yes
115,Male,0,32,86.67,Month-to-month,Credit card,2773.44,Yes
116,Male,0,5,68.85,One year,Debit card,344.25,Yes
117,Female,1,56,95.34,One year,Debit card,5339.04,No
118,Male,0,56,39.07,Two year,Debit card,2187.92,No
119,Male,1,44,45.82,Month-to-month,UPI,2016.08,No
120,Male,1,13,74.33,Month-to-month,Net Banking,966.29,No
121,Male,0,4,68.17,Month-to-month,Net Banking,272.68,Yes
122,Female,0,52,58.64,Month-to-month,UPI,3049.28,No
123,Male,0,15,94.6,Month-to-month,Debit card,1419.0,Yes
124,Male,0,1,76.48,Month-to-month,Debit card,76.48,Yes
125,Female,0,65,91.03,Month-to-month,UPI,5916.95,Yes
126,Female,0,11,35.33,Month-to-month,UPI,388.63,Yes
127,Female,0,61,92.9,Month-to-month,Credit card,5666.9,Yes
128,Female,0,63,66.15,Two year,UPI,4167.45,No
129,Female,1,38,23.38,One year,Debit card,888.44,Yes
130,Male,1,69,43.45,One year,UPI,2998.05,Yes
131,Female,0,45,22.58,One year,Debit card,1016.1,No
132,Male,0,70,65.69,Month-to-month,Credit card,4598.3,No
133,Female,0,68,52.59,One year,UPI,3576.12,No
134,Male,0,4,118.74,One year,Credit card,474.96,Yes
135,Male,1,71,106.85,Month-to-month,Debit card,7586.35,Yes
136,Female,0,48,102.57,Two year,Debit card,4923.36,No
137,Male,0,9,70.11,Month-to-month,Debit card,630.99,Yes
138,Female,0,47,100.71,Month-to-month,Debit card,4733.37,Yes
139,Male,0,60,46.69,One year,Credit card,2801.4,No
140,Female,0,52,76.06,One year,UPI,3955.12,No
141,Male,0,33,59.29,Month-to-month,UPI,1956.57,No
142,Male,0,58,37.13,Month-to-month,Debit card,2153.54,No
143,Female,0,48,27.26,Month-to-month,Debit card,1308.48,No
144,Female,0,5,75.82,Month-to-month,Credit card,379.1,Yes
145,Female,0,27,29.76,Two year,Credit card,803.52,No
146,Female,1,41,91.8,One year,Debit card,3763.8,No
147,Female,0,1,112.15,One year,Debit card,112.15,Yes
148,Female,0,51,36.21,Month-to-month,UPI,1846.71,No
149,Female,1,16,67.09,Month-to-month,UPI,1073.44,Yes
150,Female,1,32,93.88,Month-to-month,UPI,3004.16,Yes
151,Female,0,47,48.68,Month-to-month,Debit card,2287.96,No
152,Female,0,23,112.08,Month-to-month,Net Banking,2577.84,Yes
153,Male,1,15,108.85,Month-to-month,Credit card,1632.75,Yes
154,Male,0,26,30.38,Month-to-month,Credit card,789.88,No
155,Female,1,37,22.74,Month-to-month,Credit card,841.38,No
156,Female,0,55,117.65,Month-to-month,Debit card,6470.75,Yes
157,Male,1,2,115.65,Month-to-month,Debit card,231.3,Yes
158,Female,0,19,62.23,One year,Credit card,1182.37,No
159,Male,0,32,25.06,Month-to-month,Credit card,801.92,No
160,Male,0,69,81.89,One year,Credit card,5650.41,Yes
161,Male,1,55,49.34,One year,Debit card,2713.7,No
162,Male,0,56,113.67,Two year,Net Banking,6365.52,No
163,Male,0,29,99.47,Month-to-month,Net Banking,2884.63,Yes
164,Female,0,36,84.96,Month-to-month,Net Banking,3058.56,Yes
165,Male,1,71,48.45,Month-to-month,UPI,3439.95,No
166,Female,0,53,90.13,Two year,UPI,4776.89,No
167,Male,0,39,48.92,One year,Debit card,1907.88,No
168,Male,0,11,23.76,Month-to-month,Net Banking,261.36,Yes
169,Male,1,30,70.84,Month-to-month,Net Banking,2125.2,Yes
170,Female,0,53,68.87,Month-to-month,UPI,3650.11,No
171,Male,0,8,96.3,Month-to-month,Net Banking,770.4,Yes
172,Male,0,20,106.57,One year,Credit card,2131.4,No
173,Female,0,12,55.45,Month-to-month,UPI,665.4,Yes
174,Female,0,67,64.95,Month-to-month,Credit card,4351.65,Yes
175,Male,0,50,67.04,Month-to-month,Net Banking,3352.0,No
176,Male,0,12,52.42,Month-to-month,Debit card,629.04,No
177,Male,0,54,94.34,Month-to-month,Net Banking,5094.36,Yes
178,Female,0,54,72.21,Month-to-month,Debit card,3899.34,No
179,Male,0,19,111.4,Month-to-month,Credit card,2116.6,Yes
180,Female,1,14,85.03,One year,Credit card,1190.42,No
181,Male,0,52,41.19,Month-to-month,Net Banking,2141.88,Yes
182,Female,0,22,36.48,Month-to-month,UPI,802.56,Yes
183,Female,0,4,57.24,Two year,Credit card,228.96,Yes
184,Male,0,59,54.69,Month-to-month,Debit card,3226.71,Yes
185,Male,0,34,60.71,Month-to-month,Debit card,2064.14,Yes
186,Female,1,64,38.36,Month-to-month,UPI,2455.04,No
187,Male,0,18,117.82,Month-to-month,Net Banking,2120.76,Yes
188,Female,0,31,34.57,Month-to-month,Credit card,1071.67,Yes
189,Female,0,42,85.26,Month-to-month,Net Banking,3580.92,Yes
190,Male,0,3,21.31,Month-to-month,Credit card,63.93,Yes
191,Female,0,55,60.7,One year,Net Banking,3338.5,Yes
192,Male,1,10,50.92,Month-to-month,UPI,509.2,Yes
193,Female,0,71,58.2,Two year,Debit card,4132.2,No
194,Male,0,22,69.81,One year,Net Banking,1535.82,Yes
195,Male,1,23,80.04,One year,Net Banking,1840.92,No
196,Male,0,13,78.35,One year,Credit card,1018.55,No
197,Female,0,40,83.07,Month-to-month,Net Banking,3322.8,Yes
198,Male,0,13,104.45,Month-to-month,Net Banking,1357.85,Yes
199,Female,1,51,108.67,Two year,UPI,5542.17,No
200,Female,0,64,93.73,Month-to-month,Net Banking,5998.72,Yes
201,Male,1,13,27.89,Month-to-month,UPI,362.57,Yes
202,Female,0,29,116.13,Month-to-month,UPI,3367.77,Yes
203,Male,0,71,114.74,Month-to-month,UPI,8146.54,Yes
204,Female,0,47,91.17,Month-to-month,Credit card,4284.99,Yes
205,Female,0,26,71.74,Month-to-month,UPI,1865.24,Yes
206,Male,0,70,45.06,One year,Credit card,3154.2,No
207,Male,0,23,95.64,Month-to-month,Debit card,2199.72,Yes
208,Female,0,56,107.79,One year,UPI,6036.24,No
209,Male,0,19,86.52,Month-to-month,Net Banking,1643.88,Yes
210,Male,1,50,82.91,Month-to-month,UPI,4145.5,Yes
211,Female,1,35,39.3,Month-to-month,Debit card,1375.5,No
212,Male,0,49,55.78,One year,UPI,2733.22,Yes
213,Female,1,46,92.31,Two year,Credit card,4246.26,No
214,Male,0,70,21.69,Month-to-month,Debit card,1518.3,No
215,Male,0,53,84.13,Month-to-month,Debit card,4458.89,Yes
216,Female,0,31,96.67,One year,Credit card,2996.77,No
217,Female,1,22,53.47,One year,Credit card,1176.34,Yes
218,Male,0,67,27.62,Month-to-month,Net Banking,1850.54,No
219,Male,0,8,101.91,Month-to-month,Debit card,815.28,Yes
220,Female,0,19,34.18,Two year,UPI,649.42,No
221,Male,0,31,57.08,Month-to-month,Credit card,1769.48,No
222,Male,0,32,90.73,Month-to-month,Net Banking,2903.36,Yes
223,Male,0,55,101.7,Month-to-month,Credit card,5593.5,Yes
224,Male,0,31,106.24,One year,Credit card,3293.44,No
225,Female,1,67,73.04,Month-to-month,Net Banking,4893.68,No
226,Male,0,51,67.59,One year,Debit card,3447.09,No
227,Female,0,27,104.83,One year,UPI,2830.41,No
228,Female,0,48,76.31,Month-to-month,Credit card,3662.88,No
229,Male,0,43,77.87,Month-to-month,Debit card,3348.41,No
230,Female,0,51,63.4,Two year,Net Banking,3233.4,No
231,Male,0,69,57.28,Month-to-month,Net Banking,3952.32,No
232,Male,0,71,68.05,Month-to-month,Net Banking,4831.55,No
233,Female,0,50,56.48,Two year,Debit card,2824.0,No
234,Female,0,61,54.35,Two year,UPI,3315.35,No
235,Female,0,41,119.37,Month-to-month,Debit card,4894.17,Yes
236,Male,1,51,53.62,Month-to-month,Debit card,2734.62,No
237,Male,0,24,45.64,Month-to-month,Net Banking,1095.36,No
238,Male,0,30,55.39,Two year,Credit card,1661.7,No
239,Female,0,52,79.08,One year,Credit card,4112.16,No
240,Female,0,50,111.1,Month-to-month,Net Banking,5555.0,Yes
241,Female,0,57,98.79,One year,Credit card,5631.03,No
242,Female,0,62,104.22,One year,Net Banking,6461.64,No
243,Female,1,53,105.9,Month-to-month,Debit card,5612.7,Yes
244,Male,0,68,112.05,One year,Net Banking,7619.4,No
245,Male,0,69,43.51,Month-to-month,UPI,3002.19,No
246,Female,0,31,65.84,One year,UPI,2041.04,No
247,Female,0,30,58.52,Month-to-month,UPI,1755.6,No
248,Female,0,10,58.19,One year,Debit card,581.9,Yes
249,Female,0,44,85.23,Month-to-month,Credit card,3750.12,Yes
250,Male,0,6,60.18,Month-to-month,Debit card,361.08,Yes
251,Female,0,27,81.63,Month-to-month,Credit card,2204.01,Yes
252,Female,0,20,58.23,One year,Debit card,1164.6,Yes
253,Female,0,20,51.11,Month-to-month,Debit card,1022.2,No
254,Male,0,12,55.31,One year,UPI,663.72,Yes
255,Male,0,49,100.38,Month-to-month,Debit card,4918.62,Yes
256,Female,0,52,80.11,One year,UPI,4165.72,No
257,Male,0,10,117.4,Month-to-month,Debit card,1174.0,Yes
258,Female,0,5,103.27,Month-to-month,Net Banking,516.35,Yes
259,Female,0,64,68.58,Month-to-month,UPI,4389.12,No
260,Female,0,58,44.24,Month-to-month,Net Banking,2565.92,No
261,Male,0,8,87.39,One year,Debit card,699.12,Yes
262,Female,0,30,92.66,One year,Debit card,2779.8,Yes
263,Female,0,17,66.42,Month-to-month,Net Banking,1129.14,No
264,Male,0,67,42.99,One year,Credit card,2880.33,Yes
265,Male,0,21,75.72,Month-to-month,Credit card,1590.12,No
266,Female,0,16,45.38,Month-to-month,Credit card,726.08,No
267,Female,0,27,114.0,Month-to-month,Debit card,3078.0,Yes
268,Male,0,6,82.89,Month-to-month,Credit card,497.34,Yes
269,Male,1,42,49.19,One year,Credit card,2065.98,No
270,Male,1,16,41.57,Two year,Debit card,665.12,No
271,Female,0,45,91.67,Month-to-month,Debit card,4125.15,Yes
272,Female,0,3,90.78,Month-to-month,Credit card,272.34,Yes
273,Male,0,40,79.71,Two year,Credit card,3188.4,No
274,Male,0,20,81.43,Month-to-month,Net Banking,1628.6,Yes
275,Female,0,7,80.39,Month-to-month,Debit card,562.73,Yes
276,Male,0,59,56.01,Month-to-month,Debit card,3304.59,Yes
277,Female,0,11,113.74,One year,Net Banking,1251.14,Yes
278,Female,0,52,67.93,One year,UPI,3532.36,Yes
279,Female,0,3,22.03,One year,UPI,66.09,Yes
280,Male,1,21,54.84,Month-to-month,Debit card,1151.64,No
281,Female,0,53,33.03,One year,Debit card,1750.59,Yes
282,Male,0,30,56.34,Month-to-month,Credit card,1690.2,No
283,Male,0,11,80.83,Two year,UPI,889.13,Yes
284,Male,0,25,22.27,Month-to-month,Credit card,556.75,No
285,Male,0,50,107.02,Month-to-month,UPI,5351.0,Yes
286,Female,1,9,81.03,Two year,Net Banking,729.27,Yes
287,Female,0,45,49.54,One year,Credit card,2229.3,No
288,Female,1,29,51.12,One year,Net Banking,1482.48,No
289,Male,0,62,66.57,Month-to-month,Net Banking,4127.34,Yes
290,Female,0,15,44.81,One year,UPI,672.15,No
291,Female,0,19,20.43,One year,Debit card,388.17,No
292,Female,0,15,22.66,One year,Debit card,339.9,Yes
293,Female,0,39,55.77,Two year,Net Banking,2175.03,No
294,Male,0,35,32.42,Month-to-month,Debit card,1134.7,No
295,Male,1,13,22.24,Month-to-month,Credit card,289.12,Yes
296,Female,0,16,105.93,One year,UPI,1694.88,No
297,Male,0,67,47.41,Month-to-month,Credit card,3176.47,No
298,Male,0,55,70.31,Month-to-month,Debit card,3867.05,Yes
299,Male,0,65,37.94,Month-to-month,Net Banking,2466.1,Yes
300,Female,0,35,24.67,One year,UPI,863.45,Yes
301,Female,0,16,94.49,Month-to-month,Net Banking,1511.84,Yes
302,Male,0,1,32.5,Month-to-month,UPI,32.5,Yes
303,Male,0,50,22.57,Month-to-month,Credit card,1128.5,Yes
304,Male,1,14,78.72,Month-to-month,Debit card,1102.08,No
305,Male,0,62,21.35,Month-to-month,Credit card,1323.7,No
306,Female,0,7,63.63,Month-to-month,Net Banking,445.41,Yes
307,Male,0,23,48.88,Two year,Credit card,1124.24,No
308,Female,0,63,51.94,Month-to-month,Debit card,3272.22,Yes
309,Male,1,29,20.39,One year,Debit card,591.31,Yes
310,Female,0,22,116.43,One year,Credit card,2561.46,No
311,Male,0,6,71.7,Month-to-month,UPI,430.2,Yes
312,Female,0,29,77.25,Month-to-month,Debit card,2240.25,No
313,Female,0,2,86.61,Two year,Debit card,173.22,Yes
314,Male,0,64,99.75,Month-to-month,Debit card,6384.0,Yes
315,Male,0,36,80.79,Month-to-month,Debit card,2908.44,Yes
316,Female,0,20,96.22,Month-to-month,UPI,1924.4,Yes
317,Female,0,55,64.87,Month-to-month,UPI,3567.85,No
318,Male,0,37,57.13,Month-to-month,Net Banking,2113.81,No
319,Male,0,52,102.31,Month-to-month,Net Banking,5320.12,Yes
320,Male,0,69,106.53,Month-to-month,Net Banking,7350.57,Yes
321,Male,0,70,33.78,One year,Credit card,2364.6,No
322,Female,0,22,74.27,Two year,Credit card,1633.94,No
323,Female,0,15,88.36,Month-to-month,Net Banking,1325.4,Yes
324,Female,0,47,28.36,Month-to-month,Debit card,1332.92,Yes
325,Male,0,71,112.96,One year,Net Banking,8020.16,Yes
326,Male,0,69,72.01,Month-to-month,Credit card,4968.69,Yes
327,Male,0,52,84.55,Month-to-month,UPI,4396.6,Yes
328,Female,1,39,37.82,One year,Debit card,1474.98,No
329,Male,0,2,46.44,Two year,Debit card,92.88,Yes
330,Female,0,45,32.1,Month-to-month,Debit card,1444.5,No
331,Male,0,24,46.4,Month-to-month,Credit card,1113.6,Yes
332,Female,1,61,69.24,Month-to-month,Debit card,4223.64,No
333,Female,0,65,103.36,Month-to-month,Debit card,6718.4,Yes
334,Female,1,53,73.37,Month-to-month,UPI,3888.61,No
335,Male,0,21,44.45,Month-to-month,Debit card,933.45,No
336,Male,1,67,24.46,Month-to-month,Credit card,1638.82,Yes
337,Male,1,1,82.2,Month-to-month,Debit card,82.2,Yes
338,Male,0,59,62.02,Month-to-month,Credit card,3659.18,Yes
339,Female,0,47,118.44,Two year,UPI,5566.68,No
340,Female,0,18,97.98,Two year,UPI,1763.64,No
341,Male,1,33,100.84,One year,Debit card,3327.72,Yes
342,Male,1,15,21.22,Month-to-month,Net Banking,318.3,No
343,Male,0,24,97.78,Month-to-month,UPI,2346.72,Yes
344,Male,0,36,39.46,One year,Debit card,1420.56,No
345,Female,1,60,78.58,One year,UPI,4714.8,No
346,Male,0,34,64.74,One year,UPI,2201.16,Yes
347,Female,1,51,77.16,Month-to-month,Credit card,3935.16,No
348,Female,1,40,33.34,One year,Net Banking,1333.6,No
349,Female,1,22,65.69,Two year,Credit card,1445.18,No
350,Male,0,16,23.69,Month-to-month,Debit card,379.04,Yes
351,Male,0,42,24.1,Month-to-month,Debit card,1012.2,Yes
352,Male,0,16,85.77,Month-to-month,Credit card,1372.32,Yes
353,Male,1,5,115.17,One year,Net Banking,575.85,Yes
354,Female,0,6,97.74,Month-to-month,Net Banking,586.44,Yes
355,Male,0,42,66.92,Two year,Net Banking,2810.64,No
356,Female,0,30,25.59,Month-to-month,UPI,767.7,No
357,Male,0,32,24.5,Two year,Debit card,784.0,No
358,Female,1,53,35.79,Month-to-month,UPI,1896.87,No
359,Female,0,19,117.58,Month-to-month,Credit card,2234.02,Yes
360,Female,0,51,59.87,One year,Net Banking,3053.37,No
361,Male,0,28,104.34,Two year,UPI,2921.52,No
362,Female,1,47,90.51,Two year,Net Banking,4253.97,No
363,Female,0,1,80.54,Month-to-month,UPI,80.54,Yes
364,Male,0,68,114.78,Month-to-month,Debit card,7805.04,Yes
365,Female,0,57,43.04,Month-to-month,Net Banking,2453.28,No
366,Male,0,22,65.49,Month-to-month,UPI,1440.78,No
367,Male,0,58,106.47,Month-to-month,Credit card,6175.26,Yes
368,Female,0,13,75.18,Month-to-month,UPI,977.34,No
369,Female,0,39,44.64,Two year,Credit card,1740.96,No
370,Male,0,27,40.89,Month-to-month,Credit card,1104.03,Yes
371,Female,0,39,95.29,One year,Net Banking,3716.31,No
372,Male,1,12,21.28,One year,Debit card,255.36,No
373,Male,0,24,111.42,Month-to-month,Credit card,2674.08,Yes
374,Female,0,18,21.84,Two year,Credit card,393.12,No
375,Male,0,15,83.1,Month-to-month,Debit card,1246.5,Yes
376,Female,1,60,80.47,Two year,Debit card,4828.2,No
377,Female,0,16,77.84,Two year,Debit card,1245.44,No
378,Male,1,47,67.43,Two year,Credit card,3169.21,No
379,Female,0,24,105.24,One year,Debit card,2525.76,No
380,Female,0,45,85.93,Month-to-month,Credit card,3866.85,Yes
381,Female,0,19,98.19,Month-to-month,Credit card,1865.61,Yes
382,Female,0,41,31.55,Month-to-month,Credit card,1293.55,No
383,Female,0,31,24.99,Month-to-month,Debit card,774.69,No
384,Female,0,16,22.85,One year,Credit card,365.6,No
385,Male,0,23,34.72,One year,Net Banking,798.56,Yes
386,Female,0,23,86.7,Month-to-month,Credit card,1994.1,Yes
387,Male,1,41,69.4,Month-to-month,Debit card,2845.4,No
388,Male,0,18,95.23,Month-to-month,Debit card,1714.14,Yes
389,Female,0,36,39.17,Month-to-month,Credit card,1410.12,No
390,Female,0,12,56.7,Month-to-month,Credit card,680.4,No
391,Male,0,69,108.85,One year,Credit card,7510.65,No
392,Male,0,51,113.57,One year,Net Banking,5792.07,No
393,Female,0,32,112.17,Month-to-month,Debit card,3589.44,Yes
394,Male,0,71,101.83,Month-to-month,Net Banking,7229.93,Yes
395,Male,0,36,88.82,One year,Debit card,3197.52,Yes
396,Female,0,40,111.37,Month-to-month,UPI,4454.8,Yes
397,Male,0,70,91.42,Two year,Debit card,6399.4,No
398,Male,0,38,115.39,Month-to-month,Credit card,4384.82,Yes
399,Female,0,54,22.48,Month-to-month,Debit card,1213.92,Yes
400,Female,1,4,112.16,Two year,Debit card,448.64,Yes
401,Female,0,46,75.57,Month-to-month,UPI,3476.22,No
402,Female,0,63,31.18,Month-to-month,UPI,1964.34,Yes
403,Male,0,50,41.49,One year,Net Banking,2074.5,No
404,Male,0,30,105.22,One year,Net Banking,3156.6,Yes
405,Male,0,16,70.61,Month-to-month,Credit card,1129.76,No
406,Male,0,52,118.28,Month-to-month,Net Banking,6150.56,Yes
407,Male,1,4,31.75,Month-to-month,Net Banking,127.0,Yes
408,Female,0,26,61.25,One year,UPI,1592.5,No
409,Male,0,29,53.19,Month-to-month,Credit card,1542.51,No
410,Male,0,11,71.61,One year,Credit card,787.71,Yes
411,Female,1,24,83.34,One year,Net Banking,2000.16,Yes
412,Male,0,51,86.16,Month-to-month,Credit card,4394.16,Yes
413,Male,0,42,20.13,Month-to-month,Credit card,845.46,Yes
414,Female,0,39,28.9,Month-to-month,UPI,1127.1,Yes
415,Female,0,7,23.51,Month-to-month,Net Banking,164.57,Yes
416,Male,1,18,106.46,One year,Credit card,1916.28,Yes
417,Female,1,3,51.33,One year,Net Banking,153.99,Yes
418,Male,0,63,56.71,Month-to-month,Net Banking,3572.73,Yes
419,Male,0,20,65.04,Two year,Credit card,1300.8,No
420,Female,1,70,104.93,Month-to-month,Debit card,7345.1,Yes
421,Male,0,17,21.42,Month-to-month,Credit card,364.14,Yes
422,Female,0,59,31.86,Month-to-month,Debit card,1879.74,No
423,Female,0,54,88.52,Month-to-month,UPI,4780.08,Yes
424,Male,0,13,116.39,Month-to-month,Net Banking,1513.07,Yes
425,Male,1,42,84.28,Two year,Debit card,3539.76,No
426,Female,0,44,46.11,Month-to-month,Net Banking,2028.84,Yes
427,Female,0,67,71.99,Two year,UPI,4823.33,No
428,Female,0,20,117.5,Month-to-month,UPI,2350.0,Yes
429,Female,0,47,72.81,One year,Debit card,3422.07,No
430,Male,0,24,57.35,Two year,UPI,1376.4,No
431,Female,0,51,58.34,Month-to-month,Net Banking,2975.34,Yes
432,Male,0,18,116.7,Month-to-month,UPI,2100.6,Yes
433,Female,0,23,91.89,Month-to-month,UPI,2113.47,Yes
434,Female,0,1,88.72,Two year,Debit card,88.72,Yes
435,Male,0,66,43.21,One year,UPI,2851.86,No
436,Male,0,5,75.95,One year,Credit card,379.75,Yes
437,Female,1,18,55.67,One year,Net Banking,1002.06,Yes
438,Male,0,35,44.02,Month-to-month,Debit card,1540.7,No
439,Male,1,25,109.56,Month-to-month,Credit card,2739.0,Yes
440,Male,0,24,58.32,Month-to-month,Debit card,1399.68,No
441,Male,1,13,48.28,Month-to-month,Credit card,627.64,No
442,Female,0,21,113.17,One year,UPI,2376.57,No
